,food_type,temperature,hours_already_spent,risk
7115,Gravy-based veg curries,refrigerated temperature,8.49,low
7116,Sweets,cool temperature(approx. 18 C),10.75,very high
7117,Fried items,cool temperature(approx. 18 C),8.1,low
7118,Dry vegetable dishes,refrigerated temperature,1.67,low
7119,Fresh breads,refrigerated temperature,9.23,low
7120,Fried items,refrigerated temperature,11.57,low
7121,Cooked rice dish,refrigerated temperature,7.34,low
7122,Dry vegetable dishes,refrigerated temperature,2.22,low
7123,Non-veg curries,refrigerated temperature,11.6,low
7124,Sweets,refrigerated temperature,6.93,low
7125,Gravy-based veg curries,room temperature(more than 25 C),10.12,very high
7126,Dairy-based curries,room temperature(more than 25 C),4.35,very high
7127,Dal/lentils,cool temperature(approx. 18 C),7.14,very high
7128,Gravy-based veg curries,room temperature(more than 25 C),10.45,very high
7129,Dry vegetable dishes,room temperature(more than 25 C),9.4,very high
7130,Dairy-based curries,cool temperature(approx. 18 C),10.24,very high
7131,Sweets,refrigerated temperature,3.88,low
7132,Cooked rice dish,cool temperature(approx. 18 C),1.59,high
7133,Dairy-based curries,refrigerated temperature,7.56,low
7134,Cooked rice dish,room temperature(more than 25 C),1.92,very high
7135,Fresh breads,cool temperature(approx. 18 C),11.68,very high
7136,Fried items,refrigerated temperature,10.85,low
7137,Fresh breads,cool temperature(approx. 18 C),8.11,high
7138,Gravy-based veg curries,room temperature(more than 25 C),0.41,high
7139,Cooked rice dish,cool temperature(approx. 18 C),7.16,very high
7140,Dal/lentils,refrigerated temperature,10.68,low
7141,Non-veg curries,cool temperature(approx. 18 C),6.45,very high
7142,Dry vegetable dishes,room temperature(more than 25 C),5.34,very high
7143,Fresh breads,cool temperature(approx. 18 C),2.09,low
7144,Dry vegetable dishes,room temperature(more than 25 C),2.33,high
7145,Sweets,refrigerated temperature,8.51,low
7146,Fresh breads,refrigerated temperature,3.44,low
7147,Non-veg curries,cool temperature(approx. 18 C),4.38,very high
7148,Sweets,refrigerated temperature,8.52,low
7149,Dal/lentils,room temperature(more than 25 C),6.67,very high
7150,Dry vegetable dishes,refrigerated temperature,7.66,low
7151,Non-veg curries,room temperature(more than 25 C),11.63,very high
7152,Fried items,cool temperature(approx. 18 C),9.48,low
7153,Non-veg curries,cool temperature(approx. 18 C),2.75,very high
7154,Dairy-based curries,refrigerated temperature,4.48,low
7155,Sweets,room temperature(more than 25 C),5.43,very high
7156,Fresh breads,cool temperature(approx. 18 C),2.17,low
7157,Dal/lentils,refrigerated temperature,3.24,low
7158,Sweets,cool temperature(approx. 18 C),8.42,high
7159,Sweets,room temperature(more than 25 C),10.78,very high
7160,Non-veg curries,refrigerated temperature,4.88,low
7161,Cooked rice dish,room temperature(more than 25 C),1.73,very high
7162,Dry vegetable dishes,refrigerated temperature,4.76,low
7163,Fried items,refrigerated temperature,9.72,low
7164,Fried items,room temperature(more than 25 C),3.8,medium
7165,Gravy-based veg curries,refrigerated temperature,5.01,low
7166,Dal/lentils,cool temperature(approx. 18 C),2.62,medium
7167,Gravy-based veg curries,room temperature(more than 25 C),7.18,very high
7168,Gravy-based veg curries,room temperature(more than 25 C),4.51,very high
7169,Non-veg curries,room temperature(more than 25 C),5.6,very high
7170,Sweets,room temperature(more than 25 C),3.73,very high
7171,Fried items,room temperature(more than 25 C),2.79,medium
7172,Dal/lentils,cool temperature(approx. 18 C),5.23,high
7173,Gravy-based veg curries,cool temperature(approx. 18 C),6.24,very high
7174,Non-veg curries,refrigerated temperature,6.73,low
7175,Dairy-based curries,room temperature(more than 25 C),7.4,very high
7176,Fresh breads,cool temperature(approx. 18 C),0.71,low
7177,Fried items,cool temperature(approx. 18 C),9.82,low
7178,Non-veg curries,room temperature(more than 25 C),0.07,very high
7179,Cooked rice dish,refrigerated temperature,5.85,low
7180,Dairy-based curries,cool temperature(approx. 18 C),6.2,very high
7181,Dal/lentils,room temperature(more than 25 C),4.99,very high
7182,Cooked rice dish,cool temperature(approx. 18 C),2.01,very high
7183,Gravy-based veg curries,refrigerated temperature,11.51,low
7184,Cooked rice dish,room temperature(more than 25 C),5.52,very high
7185,Fresh breads,cool temperature(approx. 18 C),6.26,medium
7186,Cooked rice dish,refrigerated temperature,11.57,low
7187,Dry vegetable dishes,refrigerated temperature,8.52,low
7188,Dal/lentils,room temperature(more than 25 C),2.96,very high
7189,Non-veg curries,cool temperature(approx. 18 C),11.19,very high
7190,Gravy-based veg curries,room temperature(more than 25 C),7.74,very high
7191,Dairy-based curries,refrigerated temperature,0.57,low
7192,Dry vegetable dishes,cool temperature(approx. 18 C),5.06,medium
7193,Gravy-based veg curries,room temperature(more than 25 C),1.51,high
7194,Cooked rice dish,cool temperature(approx. 18 C),1.79,high
7195,Non-veg curries,room temperature(more than 25 C),4.57,very high
7196,Fresh breads,room temperature(more than 25 C),7.39,very high
7197,Fried items,cool temperature(approx. 18 C),8.47,low
7198,Sweets,cool temperature(approx. 18 C),6.42,medium
7199,Fried items,room temperature(more than 25 C),11.65,very high
7200,Non-veg curries,room temperature(more than 25 C),1.62,very high
7201,Cooked rice dish,cool temperature(approx. 18 C),10.11,very high
7202,Dry vegetable dishes,cool temperature(approx. 18 C),7.22,medium
7203,Fried items,refrigerated temperature,10.86,low
7204,Dry vegetable dishes,room temperature(more than 25 C),10.81,very high
7205,Fresh breads,room temperature(more than 25 C),1.21,medium
7206,Dairy-based curries,cool temperature(approx. 18 C),9.43,very high
7207,Dal/lentils,cool temperature(approx. 18 C),6.17,very high
7208,Non-veg curries,cool temperature(approx. 18 C),5.56,very high
7209,Fresh breads,cool temperature(approx. 18 C),5.35,medium
7210,Fried items,room temperature(more than 25 C),8.38,very high
7211,Gravy-based veg curries,cool temperature(approx. 18 C),7.21,very high
7212,Dairy-based curries,refrigerated temperature,9.99,low
7213,Cooked rice dish,refrigerated temperature,8.04,low
7214,Fried items,refrigerated temperature,1.87,low
7215,Fresh breads,room temperature(more than 25 C),4.38,high
7216,Fried items,cool temperature(approx. 18 C),10.85,low
7217,Non-veg curries,refrigerated temperature,5.64,low
7218,Gravy-based veg curries,room temperature(more than 25 C),3.95,very high
7219,Sweets,room temperature(more than 25 C),11.17,very high
7220,Dal/lentils,room temperature(more than 25 C),5.55,very high
7221,Fried items,refrigerated temperature,2.14,low
7222,Fried items,refrigerated temperature,5.48,low
7223,Fresh breads,refrigerated temperature,1.22,low
7224,Gravy-based veg curries,cool temperature(approx. 18 C),11.6,very high
7225,Gravy-based veg curries,refrigerated temperature,10.15,low
7226,Fresh breads,cool temperature(approx. 18 C),9.22,high
7227,Dry vegetable dishes,refrigerated temperature,2.13,low
7228,Non-veg curries,cool temperature(approx. 18 C),8.29,very high
7229,Fried items,cool temperature(approx. 18 C),2.05,low
7230,Cooked rice dish,refrigerated temperature,10.32,low
7231,Fresh breads,refrigerated temperature,2.66,low
7232,Sweets,room temperature(more than 25 C),6.1,very high
7233,Cooked rice dish,room temperature(more than 25 C),6.59,very high
7234,Fresh breads,room temperature(more than 25 C),6.47,very high
7235,Cooked rice dish,refrigerated temperature,9.92,low
7236,Dal/lentils,room temperature(more than 25 C),1.3,high
7237,Fried items,cool temperature(approx. 18 C),0.35,low
7238,Fried items,refrigerated temperature,0.46,low
7239,Non-veg curries,cool temperature(approx. 18 C),3.7,very high
7240,Cooked rice dish,refrigerated temperature,6.14,low
7241,Dairy-based curries,cool temperature(approx. 18 C),1.45,high
7242,Fresh breads,cool temperature(approx. 18 C),0.39,low
7243,Sweets,cool temperature(approx. 18 C),10.79,very high
7244,Fresh breads,cool temperature(approx. 18 C),6.48,medium
7245,Dairy-based curries,cool temperature(approx. 18 C),4.9,very high
7246,Non-veg curries,refrigerated temperature,0.5,low
7247,Gravy-based veg curries,room temperature(more than 25 C),9.99,very high
7248,Dry vegetable dishes,cool temperature(approx. 18 C),2.22,low
7249,Fried items,room temperature(more than 25 C),0.24,medium
7250,Sweets,room temperature(more than 25 C),0.29,medium
7251,Fresh breads,refrigerated temperature,10.29,low
7252,Cooked rice dish,cool temperature(approx. 18 C),9.32,very high
7253,Non-veg curries,room temperature(more than 25 C),8.39,very high
7254,Dal/lentils,room temperature(more than 25 C),2.73,very high
7255,Gravy-based veg curries,refrigerated temperature,5.61,low
7256,Fried items,room temperature(more than 25 C),0.9,medium
7257,Dry vegetable dishes,cool temperature(approx. 18 C),8.05,high
7258,Fried items,room temperature(more than 25 C),9.46,very high
7259,Fresh breads,room temperature(more than 25 C),6.06,very high
7260,Dairy-based curries,room temperature(more than 25 C),2.38,very high
7261,Sweets,cool temperature(approx. 18 C),7.81,medium
7262,Dairy-based curries,room temperature(more than 25 C),8.37,very high
7263,Cooked rice dish,cool temperature(approx. 18 C),2.41,very high
7264,Gravy-based veg curries,refrigerated temperature,7.81,low
7265,Fried items,room temperature(more than 25 C),6.11,very high
7266,Sweets,cool temperature(approx. 18 C),4.79,medium
7267,Fresh breads,refrigerated temperature,5.38,low
7268,Non-veg curries,cool temperature(approx. 18 C),11.94,very high
7269,Dal/lentils,room temperature(more than 25 C),8.71,very high
7270,Fresh breads,cool temperature(approx. 18 C),4.29,medium
7271,Non-veg curries,refrigerated temperature,3.9,low
7272,Non-veg curries,room temperature(more than 25 C),3.33,very high
7273,Cooked rice dish,refrigerated temperature,5.4,low
7274,Dairy-based curries,cool temperature(approx. 18 C),8.47,very high
7275,Gravy-based veg curries,refrigerated temperature,11.51,low
7276,Non-veg curries,refrigerated temperature,2.85,low
7277,Fried items,room temperature(more than 25 C),7.96,very high
7278,Dal/lentils,refrigerated temperature,8.69,low
7279,Dairy-based curries,room temperature(more than 25 C),2.82,very high
7280,Sweets,cool temperature(approx. 18 C),6.35,medium
7281,Fried items,cool temperature(approx. 18 C),7.69,low
7282,Fresh breads,refrigerated temperature,1.9,low
7283,Fresh breads,cool temperature(approx. 18 C),4.15,medium
7284,Sweets,cool temperature(approx. 18 C),8.19,high
7285,Sweets,room temperature(more than 25 C),5.86,very high
7286,Gravy-based veg curries,refrigerated temperature,2.73,low
7287,Sweets,refrigerated temperature,3.41,low
7288,Sweets,refrigerated temperature,4.87,low
7289,Dairy-based curries,refrigerated temperature,2.61,low
7290,Fresh breads,refrigerated temperature,6.11,low
7291,Cooked rice dish,room temperature(more than 25 C),7.12,very high
7292,Dry vegetable dishes,room temperature(more than 25 C),9.11,very high
7293,Dal/lentils,refrigerated temperature,11.08,low
7294,Dry vegetable dishes,refrigerated temperature,7.91,low
7295,Fried items,cool temperature(approx. 18 C),4.84,low
7296,Dal/lentils,room temperature(more than 25 C),11.22,very high
7297,Non-veg curries,room temperature(more than 25 C),5.13,very high
7298,Non-veg curries,room temperature(more than 25 C),5.46,very high
7299,Dal/lentils,room temperature(more than 25 C),4.83,very high
7300,Cooked rice dish,refrigerated temperature,1.13,low
7301,Cooked rice dish,refrigerated temperature,2.58,low
7302,Sweets,room temperature(more than 25 C),3.09,very high
7303,Non-veg curries,room temperature(more than 25 C),2.17,very high
7304,Dry vegetable dishes,refrigerated temperature,3.63,low
7305,Dairy-based curries,room temperature(more than 25 C),6.59,very high
7306,Dairy-based curries,cool temperature(approx. 18 C),11.55,very high
7307,Cooked rice dish,cool temperature(approx. 18 C),9.89,very high
7308,Non-veg curries,refrigerated temperature,5.94,low
7309,Fried items,cool temperature(approx. 18 C),7.41,low
7310,Sweets,refrigerated temperature,0.21,low
7311,Fried items,room temperature(more than 25 C),10.76,very high
7312,Fried items,room temperature(more than 25 C),6.27,very high
7313,Dairy-based curries,room temperature(more than 25 C),5.43,very high
7314,Dal/lentils,refrigerated temperature,1.76,low
7315,Dairy-based curries,refrigerated temperature,6.36,low
7316,Dal/lentils,refrigerated temperature,4.33,low
7317,Sweets,cool temperature(approx. 18 C),4.42,medium
7318,Fresh breads,cool temperature(approx. 18 C),9.59,high
7319,Gravy-based veg curries,cool temperature(approx. 18 C),9.99,very high
7320,Dal/lentils,refrigerated temperature,2.98,low
7321,Sweets,cool temperature(approx. 18 C),8.9,high
7322,Gravy-based veg curries,cool temperature(approx. 18 C),7.64,very high
7323,Sweets,cool temperature(approx. 18 C),5.44,medium
7324,Dairy-based curries,room temperature(more than 25 C),5.02,very high
7325,Fresh breads,cool temperature(approx. 18 C),5.66,medium
7326,Gravy-based veg curries,refrigerated temperature,5.96,low
7327,Gravy-based veg curries,cool temperature(approx. 18 C),5.86,high
7328,Dry vegetable dishes,room temperature(more than 25 C),11.14,very high
7329,Dry vegetable dishes,refrigerated temperature,7.68,low
7330,Dal/lentils,refrigerated temperature,7.65,low
7331,Fried items,cool temperature(approx. 18 C),2.36,low
7332,Dal/lentils,room temperature(more than 25 C),3.98,very high
7333,Dal/lentils,room temperature(more than 25 C),4.72,very high
7334,Dry vegetable dishes,room temperature(more than 25 C),8.68,very high
7335,Sweets,room temperature(more than 25 C),8.23,very high
7336,Fried items,room temperature(more than 25 C),7.37,very high
7337,Fresh breads,room temperature(more than 25 C),2.53,medium
7338,Sweets,cool temperature(approx. 18 C),7.09,medium
7339,Cooked rice dish,room temperature(more than 25 C),10.35,very high
7340,Dairy-based curries,cool temperature(approx. 18 C),2.62,very high
7341,Non-veg curries,cool temperature(approx. 18 C),6.53,very high
7342,Gravy-based veg curries,cool temperature(approx. 18 C),11.84,very high
7343,Non-veg curries,refrigerated temperature,11.65,low
7344,Sweets,room temperature(more than 25 C),0.85,medium
7345,Dry vegetable dishes,cool temperature(approx. 18 C),10.71,very high
7346,Fried items,refrigerated temperature,2.15,low
7347,Non-veg curries,room temperature(more than 25 C),2.57,very high
7348,Dry vegetable dishes,cool temperature(approx. 18 C),6.15,medium
7349,Cooked rice dish,refrigerated temperature,5.28,low
7350,Dairy-based curries,room temperature(more than 25 C),8.37,very high
7351,Sweets,room temperature(more than 25 C),1.41,high
7352,Cooked rice dish,refrigerated temperature,8.64,low
7353,Fresh breads,refrigerated temperature,1.38,low
7354,Fried items,refrigerated temperature,7.11,low
7355,Gravy-based veg curries,refrigerated temperature,6.66,low
7356,Dal/lentils,room temperature(more than 25 C),11.15,very high
7357,Dal/lentils,cool temperature(approx. 18 C),8.61,very high
7358,Non-veg curries,refrigerated temperature,10.89,low
7359,Dal/lentils,room temperature(more than 25 C),11.18,very high
7360,Non-veg curries,cool temperature(approx. 18 C),3.75,very high
7361,Fresh breads,cool temperature(approx. 18 C),4.49,medium
7362,Dal/lentils,refrigerated temperature,11.1,low
7363,Dry vegetable dishes,refrigerated temperature,11.05,low
7364,Fried items,refrigerated temperature,2.95,low
7365,Dry vegetable dishes,room temperature(more than 25 C),1.54,medium
7366,Sweets,refrigerated temperature,5.3,low
7367,Dal/lentils,room temperature(more than 25 C),10.52,very high
7368,Dal/lentils,refrigerated temperature,5.45,low
7369,Non-veg curries,room temperature(more than 25 C),4.32,very high
7370,Fried items,cool temperature(approx. 18 C),10.27,low
7371,Cooked rice dish,cool temperature(approx. 18 C),2.52,very high
7372,Dairy-based curries,cool temperature(approx. 18 C),10.66,very high
7373,Dal/lentils,cool temperature(approx. 18 C),3.4,medium
7374,Dal/lentils,room temperature(more than 25 C),1.21,high
7375,Dal/lentils,refrigerated temperature,8.62,low
7376,Dairy-based curries,refrigerated temperature,0.11,low
7377,Cooked rice dish,cool temperature(approx. 18 C),9.04,very high
7378,Cooked rice dish,refrigerated temperature,9.78,low
7379,Dal/lentils,refrigerated temperature,5.45,low
7380,Fried items,refrigerated temperature,5.89,low
7381,Gravy-based veg curries,refrigerated temperature,8.66,low
7382,Dairy-based curries,refrigerated temperature,11.92,low
7383,Non-veg curries,room temperature(more than 25 C),7.55,very high
7384,Fresh breads,cool temperature(approx. 18 C),0.51,low
7385,Cooked rice dish,room temperature(more than 25 C),4.86,very high
7386,Dairy-based curries,cool temperature(approx. 18 C),8.63,very high
7387,Gravy-based veg curries,room temperature(more than 25 C),4.23,very high
7388,Sweets,room temperature(more than 25 C),10.09,very high
7389,Dairy-based curries,refrigerated temperature,3.16,low
7390,Dairy-based curries,cool temperature(approx. 18 C),5.97,very high
7391,Dairy-based curries,room temperature(more than 25 C),7.44,very high
7392,Dry vegetable dishes,room temperature(more than 25 C),5.63,very high
7393,Fried items,room temperature(more than 25 C),8.98,very high
7394,Fried items,refrigerated temperature,1.34,low
7395,Dal/lentils,cool temperature(approx. 18 C),2.31,medium
7396,Gravy-based veg curries,cool temperature(approx. 18 C),11.89,very high
7397,Dry vegetable dishes,cool temperature(approx. 18 C),11.63,very high
7398,Non-veg curries,room temperature(more than 25 C),9.99,very high
7399,Sweets,room temperature(more than 25 C),10.49,very high
7400,Sweets,cool temperature(approx. 18 C),3.73,low
7401,Sweets,refrigerated temperature,10.87,low
7402,Dairy-based curries,room temperature(more than 25 C),5.85,very high
7403,Cooked rice dish,room temperature(more than 25 C),5.07,very high
7404,Cooked rice dish,cool temperature(approx. 18 C),6.07,very high
7405,Non-veg curries,room temperature(more than 25 C),0.12,very high
7406,Fresh breads,refrigerated temperature,2.71,low
7407,Dairy-based curries,refrigerated temperature,2.88,low
7408,Dal/lentils,refrigerated temperature,5.84,low
7409,Gravy-based veg curries,refrigerated temperature,4.67,low
7410,Cooked rice dish,cool temperature(approx. 18 C),5.69,very high
7411,Dry vegetable dishes,cool temperature(approx. 18 C),10.01,very high
7412,Cooked rice dish,room temperature(more than 25 C),1.22,very high
7413,Fried items,cool temperature(approx. 18 C),2.6,low
7414,Dal/lentils,refrigerated temperature,5.53,low
7415,Non-veg curries,refrigerated temperature,8.47,low
7416,Gravy-based veg curries,room temperature(more than 25 C),4.3,very high
7417,Dry vegetable dishes,room temperature(more than 25 C),9.23,very high
7418,Fresh breads,room temperature(more than 25 C),5.93,high
7419,Dry vegetable dishes,cool temperature(approx. 18 C),0.2,low
7420,Fried items,refrigerated temperature,9.03,low
7421,Non-veg curries,cool temperature(approx. 18 C),7.86,very high
7422,Dal/lentils,refrigerated temperature,3.61,low
7423,Dal/lentils,cool temperature(approx. 18 C),3.76,medium
7424,Dal/lentils,room temperature(more than 25 C),1.41,high
7425,Gravy-based veg curries,refrigerated temperature,9.44,low
7426,Dry vegetable dishes,cool temperature(approx. 18 C),9.7,high
7427,Fried items,cool temperature(approx. 18 C),4.41,low
7428,Fried items,cool temperature(approx. 18 C),9.27,low
7429,Fresh breads,cool temperature(approx. 18 C),2.52,low
7430,Sweets,cool temperature(approx. 18 C),6.32,medium
7431,Non-veg curries,cool temperature(approx. 18 C),9.16,very high
7432,Cooked rice dish,cool temperature(approx. 18 C),2.61,very high
7433,Fried items,refrigerated temperature,8.38,low
7434,Fried items,cool temperature(approx. 18 C),5.48,low
7435,Non-veg curries,room temperature(more than 25 C),0.29,very high
7436,Sweets,refrigerated temperature,11.76,low
7437,Dairy-based curries,room temperature(more than 25 C),5.86,very high
7438,Dry vegetable dishes,room temperature(more than 25 C),0.98,medium
7439,Non-veg curries,refrigerated temperature,11.12,low
7440,Sweets,room temperature(more than 25 C),9.41,very high
7441,Cooked rice dish,cool temperature(approx. 18 C),10.09,very high
7442,Dal/lentils,refrigerated temperature,1.74,low
7443,Gravy-based veg curries,cool temperature(approx. 18 C),5.58,high
7444,Gravy-based veg curries,room temperature(more than 25 C),0.3,high
7445,Dal/lentils,refrigerated temperature,11.54,low
7446,Gravy-based veg curries,cool temperature(approx. 18 C),9.04,very high
7447,Gravy-based veg curries,refrigerated temperature,1.0,low
7448,Dry vegetable dishes,refrigerated temperature,9.06,low
7449,Dal/lentils,cool temperature(approx. 18 C),6.75,very high
7450,Dairy-based curries,cool temperature(approx. 18 C),4.43,very high
7451,Fried items,refrigerated temperature,5.46,low
7452,Cooked rice dish,room temperature(more than 25 C),6.48,very high
7453,Sweets,cool temperature(approx. 18 C),6.66,medium
7454,Gravy-based veg curries,cool temperature(approx. 18 C),1.51,medium
7455,Sweets,refrigerated temperature,2.74,low
7456,Fried items,cool temperature(approx. 18 C),1.35,low
7457,Fried items,cool temperature(approx. 18 C),10.47,low
7458,Non-veg curries,refrigerated temperature,7.94,low
7459,Dairy-based curries,refrigerated temperature,9.34,low
7460,Fried items,refrigerated temperature,0.49,low
7461,Sweets,cool temperature(approx. 18 C),2.48,low
7462,Dry vegetable dishes,room temperature(more than 25 C),1.95,medium
7463,Gravy-based veg curries,cool temperature(approx. 18 C),1.88,medium
7464,Dal/lentils,room temperature(more than 25 C),0.47,high
7465,Non-veg curries,cool temperature(approx. 18 C),9.13,very high
7466,Dairy-based curries,refrigerated temperature,7.06,low
7467,Dairy-based curries,cool temperature(approx. 18 C),8.23,very high
7468,Non-veg curries,room temperature(more than 25 C),9.98,very high
7469,Non-veg curries,room temperature(more than 25 C),7.22,very high
7470,Fried items,refrigerated temperature,8.07,low
7471,Dal/lentils,cool temperature(approx. 18 C),0.27,medium
7472,Gravy-based veg curries,room temperature(more than 25 C),7.47,very high
7473,Dal/lentils,cool temperature(approx. 18 C),7.29,very high
7474,Non-veg curries,cool temperature(approx. 18 C),6.39,very high
7475,Dairy-based curries,refrigerated temperature,9.01,low
7476,Sweets,refrigerated temperature,10.2,low
7477,Dairy-based curries,room temperature(more than 25 C),8.48,very high
7478,Non-veg curries,room temperature(more than 25 C),0.89,very high
7479,Dry vegetable dishes,cool temperature(approx. 18 C),8.8,high
7480,Fried items,cool temperature(approx. 18 C),9.19,low
7481,Non-veg curries,room temperature(more than 25 C),1.01,very high
7482,Fried items,room temperature(more than 25 C),9.24,very high
7483,Gravy-based veg curries,room temperature(more than 25 C),4.04,very high
7484,Sweets,room temperature(more than 25 C),8.69,very high
7485,Sweets,room temperature(more than 25 C),4.58,very high
7486,Fresh breads,room temperature(more than 25 C),7.29,very high
7487,Gravy-based veg curries,refrigerated temperature,2.99,low
7488,Fresh breads,cool temperature(approx. 18 C),2.89,low
7489,Dry vegetable dishes,refrigerated temperature,5.33,low
7490,Fresh breads,cool temperature(approx. 18 C),5.42,medium
7491,Sweets,room temperature(more than 25 C),0.23,medium
7492,Cooked rice dish,refrigerated temperature,2.13,low
7493,Dry vegetable dishes,refrigerated temperature,8.41,low
7494,Fresh breads,refrigerated temperature,7.97,low
7495,Dry vegetable dishes,refrigerated temperature,1.49,low
7496,Gravy-based veg curries,room temperature(more than 25 C),10.72,very high
7497,Non-veg curries,room temperature(more than 25 C),2.87,very high
7498,Dal/lentils,cool temperature(approx. 18 C),11.04,very high
7499,Dairy-based curries,cool temperature(approx. 18 C),1.43,high
7500,Dry vegetable dishes,cool temperature(approx. 18 C),11.76,very high
7501,Dal/lentils,cool temperature(approx. 18 C),4.81,high
7502,Fresh breads,refrigerated temperature,8.65,low
7503,Sweets,cool temperature(approx. 18 C),10.22,very high
7504,Gravy-based veg curries,cool temperature(approx. 18 C),9.89,very high
7505,Fried items,refrigerated temperature,2.68,low
7506,Dal/lentils,cool temperature(approx. 18 C),8.8,very high
7507,Fried items,room temperature(more than 25 C),3.06,medium
7508,Dal/lentils,refrigerated temperature,6.5,low
7509,Dairy-based curries,refrigerated temperature,9.44,low
7510,Dairy-based curries,refrigerated temperature,9.67,low
7511,Fried items,refrigerated temperature,1.19,low
7512,Fried items,room temperature(more than 25 C),0.46,medium
7513,Dairy-based curries,room temperature(more than 25 C),9.27,very high
7514,Gravy-based veg curries,room temperature(more than 25 C),2.69,very high
7515,Dairy-based curries,cool temperature(approx. 18 C),5.3,very high
7516,Dal/lentils,cool temperature(approx. 18 C),9.07,very high
7517,Gravy-based veg curries,cool temperature(approx. 18 C),10.78,very high
7518,Fried items,cool temperature(approx. 18 C),1.98,low
7519,Dry vegetable dishes,room temperature(more than 25 C),6.46,very high
7520,Dairy-based curries,cool temperature(approx. 18 C),4.84,very high
7521,Dairy-based curries,room temperature(more than 25 C),9.46,very high
7522,Dal/lentils,room temperature(more than 25 C),0.23,high
7523,Sweets,cool temperature(approx. 18 C),10.02,very high
7524,Non-veg curries,room temperature(more than 25 C),10.21,very high
7525,Dal/lentils,refrigerated temperature,1.77,low
7526,Non-veg curries,refrigerated temperature,10.98,low
7527,Cooked rice dish,cool temperature(approx. 18 C),1.14,high
7528,Fresh breads,refrigerated temperature,2.92,low
7529,Dry vegetable dishes,cool temperature(approx. 18 C),9.48,high
7530,Fresh breads,room temperature(more than 25 C),10.59,very high
7531,Dry vegetable dishes,room temperature(more than 25 C),11.27,very high
7532,Non-veg curries,cool temperature(approx. 18 C),5.85,very high
7533,Non-veg curries,refrigerated temperature,0.62,low
7534,Fried items,refrigerated temperature,6.17,low
7535,Dal/lentils,cool temperature(approx. 18 C),5.87,high
7536,Fresh breads,room temperature(more than 25 C),3.42,medium
7537,Fresh breads,cool temperature(approx. 18 C),0.17,low
7538,Gravy-based veg curries,room temperature(more than 25 C),10.05,very high
7539,Dal/lentils,room temperature(more than 25 C),11.39,very high
7540,Fried items,refrigerated temperature,5.81,low
7541,Sweets,refrigerated temperature,0.03,low
7542,Non-veg curries,refrigerated temperature,0.1,low
7543,Dal/lentils,room temperature(more than 25 C),6.19,very high
7544,Gravy-based veg curries,room temperature(more than 25 C),0.6,high
7545,Dairy-based curries,refrigerated temperature,3.69,low
7546,Gravy-based veg curries,refrigerated temperature,11.55,low
7547,Dal/lentils,refrigerated temperature,6.62,low
7548,Sweets,cool temperature(approx. 18 C),4.67,medium
7549,Cooked rice dish,refrigerated temperature,4.37,low
7550,Gravy-based veg curries,room temperature(more than 25 C),5.18,very high
7551,Dal/lentils,room temperature(more than 25 C),9.93,very high
7552,Dry vegetable dishes,refrigerated temperature,2.85,low
7553,Dry vegetable dishes,refrigerated temperature,3.62,low
7554,Cooked rice dish,cool temperature(approx. 18 C),11.34,very high
7555,Cooked rice dish,room temperature(more than 25 C),3.1,very high
7556,Cooked rice dish,cool temperature(approx. 18 C),5.65,very high
7557,Sweets,refrigerated temperature,6.14,low
7558,Dal/lentils,cool temperature(approx. 18 C),11.7,very high
7559,Sweets,refrigerated temperature,2.67,low
7560,Dairy-based curries,cool temperature(approx. 18 C),0.97,high
7561,Cooked rice dish,cool temperature(approx. 18 C),0.75,high
7562,Cooked rice dish,cool temperature(approx. 18 C),0.6,high
7563,Gravy-based veg curries,refrigerated temperature,0.11,low
7564,Non-veg curries,room temperature(more than 25 C),5.01,very high
7565,Fried items,room temperature(more than 25 C),2.0,medium
7566,Fried items,refrigerated temperature,10.08,low
7567,Dal/lentils,room temperature(more than 25 C),3.73,very high
7568,Fresh breads,cool temperature(approx. 18 C),11.53,very high
7569,Dal/lentils,refrigerated temperature,10.9,low
7570,Non-veg curries,room temperature(more than 25 C),3.21,very high
7571,Dry vegetable dishes,cool temperature(approx. 18 C),8.08,high
7572,Dry vegetable dishes,cool temperature(approx. 18 C),9.99,high
7573,Non-veg curries,cool temperature(approx. 18 C),8.95,very high
7574,Fresh breads,cool temperature(approx. 18 C),10.63,very high
7575,Dal/lentils,room temperature(more than 25 C),5.73,very high
7576,Non-veg curries,cool temperature(approx. 18 C),1.66,high
7577,Fried items,room temperature(more than 25 C),3.95,medium
7578,Dry vegetable dishes,refrigerated temperature,1.18,low
7579,Dry vegetable dishes,cool temperature(approx. 18 C),4.77,medium
7580,Sweets,room temperature(more than 25 C),0.82,medium
7581,Gravy-based veg curries,room temperature(more than 25 C),6.23,very high
7582,Gravy-based veg curries,refrigerated temperature,2.6,low
7583,Gravy-based veg curries,room temperature(more than 25 C),8.72,very high
7584,Cooked rice dish,cool temperature(approx. 18 C),10.85,very high
7585,Dry vegetable dishes,room temperature(more than 25 C),8.23,very high
7586,Sweets,refrigerated temperature,0.19,low
7587,Fresh breads,cool temperature(approx. 18 C),7.83,medium
7588,Fresh breads,cool temperature(approx. 18 C),11.47,very high
7589,Dairy-based curries,cool temperature(approx. 18 C),4.01,very high
7590,Non-veg curries,room temperature(more than 25 C),5.91,very high
7591,Fried items,room temperature(more than 25 C),4.28,high
